,CsPbI,FAPbI,MAPbI
0,84.0,0.0,16.0
1,39.0,61.0,0.0
2,35.0,65.0,0.0
3,88.33333333333333,0.3333333333333333,11.333333333333334
4,78.0,9.0,13.0
5,91.0,1.0,8.0
6,82.33333333333333,0.3333333333333333,17.333333333333332
7,16.0,84.0,0.0
8,62.333333333333336,37.333333333333336,0.3333333333333333
9,28.0,65.0,7.0
10,82.33333333333333,3.3333333333333335,14.333333333333334
11,16.0,84.0,0.0
12,23.0,66.0,11.0
13,62.333333333333336,37.333333333333336,0.3333333333333333
14,87.33333333333333,0.3333333333333333,12.333333333333334
15,81.0,0.0,19.0
16,81.0,0.0,19.0
17,35.0,65.0,0.0
18,30.0,69.0,1.0
19,34.333333333333336,53.333333333333336,12.333333333333334
20,80.0,11.0,9.0
21,84.0,0.0,16.0
22,30.0,69.0,1.0
23,87.0,12.0,1.0
24,13.0,85.0,2.0
25,37.0,63.0,0.0
26,88.33333333333333,0.3333333333333333,11.333333333333334
27,34.0,64.0,2.0
28,9.0,87.0,4.0
29,41.0,58.0,1.0
30,43.333333333333336,56.333333333333336,0.3333333333333333
31,22.333333333333332,77.33333333333333,0.3333333333333333
32,69.33333333333333,13.333333333333334,19.333333333333332
33,96.0,4.0,0.0
34,68.33333333333333,0.3333333333333333,31.333333333333332
35,19.333333333333332,80.33333333333333,0.3333333333333333
36,10.0,90.0,0.0
37,16.333333333333332,84.33333333333333,1.3333333333333333
38,17.333333333333332,82.33333333333333,0.3333333333333333
39,71.0,1.0,28.0
40,26.333333333333332,37.333333333333336,36.333333333333336
41,26.333333333333332,73.33333333333333,0.3333333333333333
42,36.0,1.0,63.0
43,51.333333333333336,0.3333333333333333,48.333333333333336
44,0.0,98.0,2.0
45,0.0,60.0,40.0
46,60.0,39.0,1.0
47,2.0,98.0,0.0
48,69.33333333333333,0.3333333333333333,30.333333333333332
49,72.0,0.0,28.0
50,55.0,44.0,1.0
51,29.0,71.0,0.0
52,46.333333333333336,52.333333333333336,1.3333333333333333
53,73.33333333333333,25.333333333333332,1.3333333333333333
54,1.3333333333333333,1.3333333333333333,97.33333333333333
55,41.0,58.0,1.0
56,21.0,78.0,1.0
57,81.33333333333333,18.333333333333332,0.3333333333333333
58,0.3333333333333333,98.33333333333333,1.3333333333333333
59,1.3333333333333333,95.33333333333333,3.3333333333333335
60,67.33333333333333,32.333333333333336,0.3333333333333333
61,8.333333333333334,91.33333333333333,0.3333333333333333
62,37.0,62.0,1.0
63,9.0,91.0,0.0
64,57.0,43.0,0.0
65,71.0,6.0,23.0
66,32.333333333333336,67.33333333333333,0.3333333333333333
67,14.333333333333334,85.33333333333333,2.3333333333333335
68,19.0,70.0,11.0
69,18.0,76.0,6.0
70,6.0,85.0,9.0
71,25.0,71.0,4.0
72,67.33333333333333,24.333333333333332,10.333333333333334
73,70.0,29.0,1.0
74,23.0,77.0,0.0
75,13.333333333333334,78.33333333333333,8.333333333333334
76,31.0,36.0,33.0
77,24.0,37.0,39.0
78,44.0,55.0,1.0
79,20.0,69.0,11.0
80,32.0,67.0,1.0
81,25.0,75.0,0.0
82,18.0,78.0,4.0
83,26.0,67.0,7.0
84,30.333333333333332,39.333333333333336,32.333333333333336
85,38.0,62.0,0.0
86,76.0,24.0,0.0
87,9.0,85.0,6.0
88,12.333333333333334,80.33333333333333,7.333333333333333
89,31.0,30.0,39.0
90,22.333333333333332,71.33333333333333,6.333333333333333
91,59.0,41.0,0.0
92,68.33333333333333,31.333333333333332,0.3333333333333333
93,6.333333333333333,93.33333333333333,0.3333333333333333
94,27.333333333333332,73.33333333333333,1.3333333333333333
95,16.0,75.0,9.0
96,10.0,89.0,1.0
97,28.0,37.0,35.0
98,26.0,35.0,39.0
99,53.0,47.0,0.0
100,99.0,1.0,0.0
101,98.0,1.0,1.0
102,97.33333333333333,2.3333333333333335,0.3333333333333333
103,99.0,0.0,1.0
104,88.33333333333333,11.333333333333334,0.3333333333333333
105,95.0,0.0,5.0
106,98.0,0.0,2.0
107,97.33333333333333,0.3333333333333333,2.3333333333333335
108,75.0,0.0,25.0
109,25.0,0.0,75.0
110,100.0,0.0,0.0
111,50.0,50.0,0.0
112,25.0,25.0,50.0
113,50.0,25.0,25.0
114,0.0,0.0,100.0
115,0.0,75.0,25.0
116,75.0,25.0,0.0
117,0.0,25.0,75.0
118,0.0,50.0,50.0
119,0.0,100.0,0.0
120,25.0,50.0,25.0
121,100.0,0.0,0.0
122,25.0,75.0,0.0
123,50.0,0.0,50.0
124,50.0,50.0,0.0
125,50.0,25.0,25.0
126,0.0,100.0,0.0
127,100.0,0.0,0.0
128,25.0,50.0,25.0
129,0.0,50.0,50.0
130,25.0,0.0,75.0
131,25.0,25.0,50.0
132,75.0,25.0,0.0
133,25.0,75.0,0.0
134,0.0,0.0,100.0
135,0.0,25.0,75.0
136,0.0,75.0,25.0
137,50.0,0.0,50.0
138,75.0,0.0,25.0
139,50.0,25.0,25.0
140,50.0,50.0,0.0
141,75.0,25.0,0.0
142,75.0,0.0,25.0
143,50.0,0.0,50.0
144,100.0,0.0,0.0
